,ETH,TFUEL,VET,ZIL,QTUM,USDT,THETA,XLM,WAVES,ENJ,OMG,NANO,NEO,ZRX,FTM,EOS,USDS,BTC,ONE,MIOTA,XRP,ZEC,ONT,NULS,BSV,BNB,ADA,ATOM,PHB,ICX,BTT,DASH,LTC,BCH,XMR,XZC,USDC,BAT,ETC,TUSD,IOST,LINK,PAX,TRX
PHB,,,,,,,,,,,,,,,,,,518134.7150259067,,,,,,,,1901.1406844106464,,,,,,,,,,,54.79452054794521,,,55.55555555555556,,,55.55555555555556,
ICX,737.4631268436578,,,,,2.7203482045701852,,,,,,,,,,,,25062.656641604008,,,,,,,,92.25092250922509,,,,,,,,,,,,,,,,,,
BTT,,,,,,732.9766180458844,,,,,,,,,,,,6666666.666666667,,,,,,,,24888.003982080638,,,,,,,,,,,729.3946024799417,,,728.8098535092195,,,729.6074711805048,
DASH,1.7141191998491576,,,,,0.0063043752364140716,,,,,,,,,,,,58.27845445538784,,,,,,,,0.2143163309044149,,,,,,,,,,,,,,,,,,
LTC,2.0275339105046535,,,,,0.007478312892611427,,,,,,,,,,,,69.02263942573164,,,,,,,,0.25380710659898476,,,,,,,,,,,0.0074471254095918975,,,0.00744158356898348,,,0.007454342154304882,
BCH,,,,,,0.002333341111137037,,,,,,,,,,,,21.534088462035403,,,,,,,,,,,,,,,,,,,0.0023257977486277792,,,0.0023241760795797892,,,0.002323096222645542,
XMR,2.780403714619363,,,,,0.010244851961889151,,,,,,,,,,,,94.4733112895607,,,,,,,,0.34794711203897005,,,,,,,,,,,,,,,,,,
XZC,23.265011748830933,,,,,,,,,,,,,,,,,793.6507936507936,,,0.036651517372819235,,,,,2.9154518950437316,,,,,,,,,,,,,,,,,,
USDC,271.92,0.01207,,,,1.0028078620136383,,0.12811,2.4421,,,,14.144,,0.02624,7.0535,0.9976,9251.18,0.02117,,0.42834,100.74,,,,33.9801,0.09202,6.771,0.01772,,0.0013654,,133.87,428.51,,,,0.3576,8.708,0.9996001599360256,,1.9057,0.9991008092716556,0.03344
BAT,756.5040435141126,,,,,2.794076557697681,,,,,,,,,,,,25766.555011594948,,,,,,,,94.60737937559131,,,,,,,,,,,2.7739251040221915,,,2.767783005812344,,,2.770850651149903,
ETC,31.07809926344905,,,,,0.11463420226058647,,,,,,,,,,,,1057.0824524312895,,,,,,,,3.8819875776397517,,,,,,,,,,,0.11384335154826958,,,0.1137009664582149,,,0.11322463768115941,
TUSD,272.03,0.01211,,,,1.0033109260559847,,0.12828,2.4551,,,,14.157,,0.0263,7.057,0.9984,9251.73,0.02123,,0.42861,101.5,,,,33.9955,0.09206,6.779,0.01768,,0.0013656,,133.97,428.98,,,0.9996,0.3576,8.698,,,1.9049,0.9993,0.03349
IOST,21146.119687037426,,,,,77.9666302822392,,,,,,,,,,,,719424.4604316547,,,,,,,,2646.9031233456853,,,,,,,,,,,,,,,,,,
LINK,142.45014245014244,,,,,0.5242189138184106,,,,,,,,,,,,4837.695321948623,,,,,,,,,,,,,,,,,,,0.5212677231025855,,,0.5209690023443605,,,0.5217845030002609,
PAX,272.1,0.01202,,,,1.0029084344599337,,0.12813,2.4407,,,,14.135,,0.02629,7.0535,0.999,9251.5,0.02121,,0.42849,101.04,,,,33.9939,0.09201,6.785,0.01765,,0.0013639,,133.91,428.69,,,0.9999,0.3579,8.701,0.9997000899730081,,1.9039,,0.03343
TRX,8123.4768480909825,,,,,29.922202274087375,,,,,,,,,,,,276243.09392265195,,,12.78772378516624,,,,,1015.2284263959391,,,,,,,,,,,29.779630732578916,,,29.797377830750893,,,29.753049687592977,
